Uphill Blak Elytic Becket Zery   || <- 1 ||  eden  ||  Timo Nookie Diddy Ruski Suddi 
"Smurf", "Uphill", "Stn", "Cylas", "Haboo",   || <- 1 ||  eden  ||  "Sora", "Elytic", "Blak", "Diddy", "Timo", NY
"Becket", "Smurf", "Elytic", "Timo", "Blak",   || -> 2 ||  drydock  ||  "Stn", "Zery", "Alex", "Diddy", "Uphill", EU
"Nookie", "Uphill", "Becket", "Hero", "Elytic",   || <- 1 ||  boomtown  ||  "Mitter", "Eppixx", "Blak", "Zery", "Cylas", EU
"Mitter", "Blak", "Zery", "Hero", "Elytic",   || <- 1 ||  exo  ||  "Eppixx", "Haboo", "Uphill", "Becket", "Cylas", EU
"Uphill", "Blak", "Becket", "Hero", "Cylas",   || <- 1 ||  eden  ||  "Mitter", "Eppixx", "Haboo", "Zery", "Elytic", EU
"Uphill", "Blak", "Becket", "Hero", "Cylas",   || -> 6 ||  drydock  ||  "Mitter", "Eppixx", "Haboo", "Zery", "Elytic", EU
"Mitter", "Becket", "Nookie", "Cylas", "Elytic",   || <- 2 ||  colony  ||  "Stn", "Haboo", "Uphill", "Blak", "Hero", EU
"Mitter", "Uphill", "Becket", "Nookie", "Elytic",   || <- 1 ||  boomtown  ||  "Ronin", "Haboo", "Blak", "Zery", "M-kon", EU
"Mitter", "Uphill", "Becket", "Nookie", "Elytic",   || -> 2 ||  exo  ||  "Ronin", "Haboo", "Blak", "Zery", "M-kon", EU
"Mitter", "Uphill", "Becket", "Nookie", "Elytic",   || <- 1 ||  eden  ||  "Ronin", "Haboo", "Blak", "Zery", "M-kon", EU
"Mitter", "Uphill", "Becket", "Nookie", "Elytic",   || -> 1 ||  angel  ||  "Ronin", "Haboo", "Blak", "Zery", "M-kon", EU
"Mitter", "Uphill", "Becket", "Nookie", "Elytic",   || <- 2 ||  drydock  ||  "Ronin", "Haboo", "Blak", "Zery", "M-kon", EU
"Mitter", "Ronin", "Becket", "M-kon", "Elytic",   || -> 4 ||  colony  ||  "Haboo", "Uphill", "Cylas", "Nookie", "Eppixx", EU
"Diddy", "M-kon", "Timo", "Titan", "Blak",   || <- 1 ||  boomtown  ||  "Ronin", "Uphill", "Mitter", "Elytic", "Nookie", EU
"Diddy", "M-kon", "Timo", "Titan", "Blak",   || -> 1 ||  exo  ||  "Ronin", "Uphill", "Mitter", "Elytic", "Nookie", EU
"Diddy", "M-kon", "Timo", "Titan", "Blak",   || <- 1 ||  boomtown  ||  "Ronin", "Uphill", "Mitter", "Elytic", "Nookie", EU
"Diddy", "M-kon", "Timo", "Titan", "Blak",   || -> 1 ||  exo  ||  "Ronin", "Uphill", "Mitter", "Elytic", "Nookie", EU
"Diddy", "M-kon", "Timo", "Titan", "Blak",   || <- 1 ||  eden  ||  "Ronin", "Uphill", "Mitter", "Elytic", "Nookie", EU
"Diddy", "M-kon", "Timo", "Alex", "Blak",   || <- 1 ||  boomtown  ||  "Ronin", "Uphill", "Elytic", "Nookie", "Haboo", EU
"Diddy", "M-kon", "Timo", "Alex", "Blak",   || -> 1 ||  eden  ||  "Ronin", "Uphill", "Elytic", "Nookie", "Haboo", EU
"Diddy", "M-kon", "Timo", "Alex", "Blak",   || <- 1 ||  exo  ||  "Ronin", "Uphill", "Elytic", "Nookie", "Haboo", EU
"Uphill", "Timo", "Nookie", "Cylas", "Becket",   || -> 1 ||  boomtown  ||  "Diddy", "Stn", "M-kon", "Mitter", "Blak", EU
"Stn", "Zto", "Elytic", "Nookie", "Mitter",   || <- 5 ||  exo  ||  "Diddy", "Uphill", "Cylas", "Becket", "Blak", EU
"Diddy", "Stn", "Zto", "Nookie", "Titan",   || -> 1 ||  eden  ||  "Uphill", "Elytic", "Mitter", "Becket", "Blak", EU
"Diddy", "Stn", "Uphill", "Slime", "Blak",   || -> 1 ||  drydock  ||  "Zto", "Elytic", "Nookie", "Titan", "Becket", NY
"Dragon", "Elytic", "Suddi", "Tark", "Blak",   || -> 1 ||  boomtown  ||  "Lightman", "Stn", "Uphill", "Toxic", "M-kon", EU
"Nookie", "Uphill", "Elytic", "Tark", "Blak",   || <- 1 ||  exo  ||  "Lightman", "Stn", "Toxic", "M-kon", "Suddi", EU
"Nookie", "Uphill", "Elytic", "Tark", "Blak",   || <- 1 ||  eden  ||  "Lightman", "Stn", "Toxic", "M-kon", "Suddi", EU
"Timo", "Zery", "M-kon", "Suddi", "Mitter",   || <- 1 ||  boomtown  ||  "Uphill", "Elytic", "Toxic", "Foy", "Blak", EU
"Timo", "Zery", "M-kon", "Suddi", "Mitter",   || -> 1 ||  boomtown  ||  "Uphill", "Elytic", "Toxic", "Foy", "Blak", EU
"Timo", "Zery", "M-kon", "Suddi", "Mitter",   || <- 1 ||  exo  ||  "Uphill", "Elytic", "Toxic", "Foy", "Blak", EU
"Timo", "Zery", "M-kon", "Suddi", "Mitter",   || -> 1 ||  eden  ||  "Uphill", "Elytic", "Toxic", "Foy", "Blak", EU
"Tark", "Elytic", "Toxic", "Haboo", "Blak",   || -> 1 ||  boomtown  ||  "Sora", "Alex", "Nookie", "Suddi", "Mitter", EU
"Tark", "Elytic", "Toxic", "Haboo", "Blak",   || <- 1 ||  eden  ||  "Sora", "Alex", "Nookie", "Suddi", "Mitter", EU
"Tark", "Elytic", "Toxic", "Haboo", "Blak",   || -> 3 ||  exo  ||  "Sora", "Alex", "Nookie", "Suddi", "Mitter", EU
"Sora", "Elytic", "Toxic", "Haboo", "Blak",   || -> 2 ||  angel  ||  "Stn", "Tark", "Nookie", "Suddi", "Mitter", EU
"Sora", "Elytic", "Toxic", "Haboo", "Blak",   || <- 2 ||  drydock  ||  "Stn", "Tark", "Nookie", "Suddi", "Mitter", EU
"Blak", "Haboo", "Elytic", "M-kon", "Toxic",   || <- 5 ||  colony  ||  "Stn", "Suddi", "Nookie", "Ehkho", "Mitter", NY
"Stn", "Ehkho", "Grim", "Timo", "Elytic",   || <- 1 ||  boomtown  ||  "Haboo", "Ronin", "Toxic", "Uphill", "Blak", EU
"Foy", "Ronin", "Toxic", "Timo", "Elytic",   || <- 5 ||  exo  ||  "Haboo", "Ehkho", "Grim", "Uphill", "Blak", EU
"Foy", "Haboo", "Grim", "Timo", "Uphill",   || <- 2 ||  eden  ||  "Ehkho", "Ronin", "Toxic", "Blak", "Elytic", EU
"Foy", "Haboo", "Grim", "Timo", "Uphill",   || -> 1 ||  drydock  ||  "Ehkho", "Ronin", "Toxic", "Blak", "Elytic", EU
"Foy", "Haboo", "Grim", "Timo", "Uphill",   || <- 2 ||  eden  ||  "Ehkho", "Ronin", "Toxic", "Blak", "Elytic", EU
"Foy", "Haboo", "Grim", "Timo", "Uphill",   || <- 2 ||  eden  ||  "Ehkho", "Ronin", "Toxic", "Blak", "Elytic", EU
"Foy", "Haboo", "Grim", "Timo", "Uphill",   || -> 1 ||  drydock  ||  "Ehkho", "Ronin", "Toxic", "Blak", "Elytic", EU
"Foy", "Haboo", "Grim", "Timo", "Uphill",   || <- 3 ||  angel  ||  "Ehkho", "Ronin", "Toxic", "Blak", "Elytic", EU
"Mitter", "Alex", "Diddy", "Uphill", "Zery",   || -> 1 ||  boomtown  ||  "Naicrez", "Stn", "Ronin", "Cylas", "Blak", EU
"Mitter", "Alex", "Diddy", "Uphill", "Zery",   || -> 2 ||  exo  ||  "Naicrez", "Stn", "Ronin", "Cylas", "Blak", EU
"Naicrez", "Stn", "Mitter", "Alex", "Zery",   || <- 1 ||  eden  ||  "Ronin", "Timo", "Diddy", "Uphill", "Blak", EU
"Naicrez", "Diddy", "Uphill", "Blak", "Zery",   || <- 5 ||  drydock  ||  "Stn", "Suddi", "Mitter", "Timo", "Alex", EU
"Naicrez", "Diddy", "Uphill", "Blak", "Zery",   || <- 3 ||  angel  ||  "Stn", "Suddi", "Mitter", "Timo", "Alex", EU
"Stn", "Mitter", "Alex", "Uphill", "Blak",   || -> 1 ||  colony  ||  "Naicrez", "Suddi", "Timo", "Diddy", "Zery", EU
"Stn", "Mitter", "Alex", "Uphill", "Blak",   || -> 1 ||  glitch  ||  "Naicrez", "Suddi", "Timo", "Diddy", "Zery", EU
"Cylas", "Foy", "Becket", "Zery", "M-kon",   || -> 1 ||  exo  ||  "Naicrez", "Stn", "Suddi", "Uphill", "Blak", EU
"Cylas", "Foy", "Becket", "Zery", "M-kon",   || -> 0 ||  eden  ||  "Naicrez", "Stn", "Suddi", "Uphill", "Blak", EU
"Cylas", "Foy", "Becket", "Zery", "M-kon",   || -> 0 ||  drydock  ||  "Naicrez", "Stn", "Suddi", "Uphill", "Blak", EU
"Cylas", "Foy", "Becket", "Zery", "M-kon",   || <- 0 ||  boomtown  ||  "Naicrez", "Stn", "Suddi", "Uphill", "Blak", EU
"Nookie", "Timo", "Mitter", "Uphill", "Diddy",   || <- 0 ||  boomtown  ||  "Naicrez", "Stn", "Toxic", "Smurf", "Blak", EU
"Nookie", "Timo", "Mitter", "Uphill", "Diddy",   || <- 3 ||  exo  ||  "Naicrez", "Stn", "Toxic", "Smurf", "Blak", EU
"Nookie", "Timo", "Mitter", "Uphill", "Diddy",   || <- 2 ||  eden  ||  "Naicrez", "Stn", "Toxic", "Smurf", "Blak", EU
"Naicrez", "Suddi", "Hero", "Diddy", "Haboo",   || <- 0 ||  boomtown  ||  "Alex", "Toxic", "Mitter", "Uphill", "Blak", EU
"Naicrez", "Suddi", "Hero", "Diddy", "Haboo",   || <- 2 ||  exo  ||  "Alex", "Toxic", "Mitter", "Uphill", "Blak", EU
"Naicrez", "Suddi", "Hero", "Diddy", "Haboo",   || <- 1 ||  eden  ||  "Alex", "Toxic", "Mitter", "Uphill", "Blak", EU
"Naicrez", "Alex", "Suddi", "Diddy", "Haboo",   || <- 3 ||  drydock  ||  "Toxic", "Nookie", "Mitter", "Uphill", "Blak", EU
"Toxic", "Nookie", "Diddy", "Uphill", "Blak",   || -> 5 ||  angel  ||  "Naicrez", "Alex", "Suddi", "Zery", "Haboo", EU
"Toxic", "Nookie", "Diddy", "Uphill", "Blak",   || -> 1 ||  colony  ||  "Naicrez", "Alex", "Suddi", "Zery", "Haboo", EU
"Naicrez", "M-kon", "Diddy", "Zery", "Haboo",   || <- 0 ||  glitch  ||  "Suddi", "Toxic", "Nookie", "Uphill", "Blak", EU
"Alex", "Ronin", "Zery", "Timo", "Toxic",   || <- 0 ||  boomtown  ||  "Haboo", "Elytic", "Hero", "Suddi", "Uphill", EU
"Alex", "Ronin", "Zery", "Timo", "Toxic",   || -> 1 ||  exo  ||  "Haboo", "Elytic", "Hero", "Suddi", "Uphill", EU
"Toxic", "Ronin", "Uphill", "Blak", "Haboo",   || <- 1 ||  boomtown  ||  "Schmogle", "M-kon", "Suddi", "Elytic", "Ehkho", EU
"Schmogle", "Hero", "Elytic", "Uphill", "Haboo",   || -> 2 ||  boomtown  ||  "Suddi", "Toxic", "Ronin", "Naicrez", "Pano", EU
"Schmogle", "Hero", "Elytic", "Uphill", "Haboo",   || -> 4 ||  exo  ||  "Suddi", "Toxic", "Ronin", "Naicrez", "Pano", EU
"Ronin", "Naicrez", "Uphill", "Pano", "Haboo",   || -> 2 ||  eden  ||  "Schmogle", "Hero", "Suddi", "Toxic", "Elytic", EU
"Ronin", "Naicrez", "Uphill", "Pano", "Haboo",   || <- 0 ||  drydock  ||  "Schmogle", "Hero", "Suddi", "Toxic", "Elytic", EU
"Suddi", "Toxic", "Ronin", "Pano", "Haboo",   || -> 1 ||  angel  ||  "Blak", "Hero", "Elytic", "Naicrez", "Uphill", EU
"Suddi", "Toxic", "Ronin", "Pano", "Haboo",   || <- 5 ||  glitch  ||  "Blak", "Hero", "Elytic", "Naicrez", "Uphill", EU
"Suddi", "Toxic", "Ronin", "Pano", "Haboo",   || -> 2 ||  colony  ||  "Blak", "Hero", "Elytic", "Naicrez", "Uphill", EU
"Suddi", "Toxic", "Ronin", "Pano", "Haboo",   || -> 0 ||  boomtown  ||  "Blak", "Hero", "Elytic", "Naicrez", "Uphill", EU
"Blak", "Hero", "Suddi", "Toxic", "Uphill",   || -> 1 ||  exo  ||  "Stn", "Ronin", "Naicrez", "Pano", "Haboo", EU
"Suddi", "Toxic", "Ronin", "Pano", "Haboo",   || -> 5 ||  glitch  ||  "Blak", "Elytic", "Hero", "Naicrez", "Uphill", EU
"Suddi", "Toxic", "Ronin", "Pano", "Haboo",   || <- 2 ||  angel  ||  "Blak", "Elytic", "Hero", "Naicrez", "Uphill", EU
"Suddi", "Toxic", "Ronin", "Pano", "Haboo",   || <- 2 ||  colony  ||  "Blak", "Elytic", "Hero", "Naicrez", "Uphill", EU
"Suddi", "Toxic", "Ronin", "Pano", "Haboo",   || <- 0 ||  boomtown  ||  "Blak", "Elytic", "Hero", "Naicrez", "Uphill", EU
"Blak", "Uphill", "Suddi", "Toxic", "Hero",   || -> 1 ||  exo  ||  "Ronin", "Naicrez", "Stn", "Pano", "Haboo", EU
"Blak", "Uphill", "Haboo", "Naicrez", "Diddy",   || -> 1 ||  eden  ||  "Ronin", "Toxic", "Stn", "Pano", "Suddi", EU
"Foy", "Titan", "Diddy", "Uphill", "Timo",   || -> 1 ||  boomtown  ||  "Schmoogle", "Suddi", "Toxic", "Ronin", "Haboo", EU
"Schmoogle", "Titan", "Ronin", "Diddy", "Haboo",   || <- 1 ||  boomtown  ||  "Foy", "Suddi", "Toxic", "Uphill", "Timo", NY
"Schmoogle", "Titan", "Ronin", "Diddy", "Haboo",   || -> 3 ||  exo  ||  "Foy", "Suddi", "Toxic", "Uphill", "Timo", NY
"Uphill", "Foy", "Suddi", "Toxic", "Timo",   || -> 1 ||  eden  ||  "Ronin", "Diddy", "Schmoogle", "Titan", "Haboo", NY
"Uphill", "Foy", "Suddi", "Toxic", "Timo",   || <- 2 ||  eden  ||  "Ronin", "Diddy", "Schmoogle", "Titan", "Haboo", NY
"Uphill", "Foy", "Diddy", "Titan", "Timo",   || <- 0 ||  drydock  ||  "Ronin", "Suddi", "Schmoogle", "Toxic", "Haboo", NY
"Uphill", "Foy", "Diddy", "Titan", "Timo",   || <- 0 ||  drydock  ||  "Ronin", "Suddi", "Schmoogle", "Toxic", "Haboo", NY
"Uphill", "Foy", "Suddi", "Toxic", "Timo",   || <- 2 ||  eden  ||  "Ronin", "Diddy", "Schmoogle", "Titan", "Haboo", NY
"Uphill", "Haboo", "Zery", "Mitter", "Timo",   || <- 1 ||  boomtown  ||  "Toxic", "Suddi", "Blak", "Titan", "Naicrez", EU
"Uphill", "Haboo", "Zery", "Mitter", "Timo",   || <- 1 ||  exo  ||  "Toxic", "Suddi", "Blak", "Titan", "Naicrez", EU
"Uphill", "Haboo", "Zery", "Hero", "Timo",   || -> 5 ||  drydock  ||  "Toxic", "Suddi", "Blak", "Ronin", "Naicrez", EU
"Uphill", "Haboo", "Zery", "Hero", "Timo",   || <- 1 ||  eden  ||  "Toxic", "Suddi", "Blak", "Ronin", "Naicrez", EU
"Naicrez", "Suddi", "Uphill", "Ronin", "Haboo",   || -> 3 ||  angel  ||  "Blak", "Zery", "Toxic", "Timo", "Hero", EU
"Naicrez", "Suddi", "Uphill", "Ronin", "Haboo",   || <- 0 ||  colony  ||  "Blak", "Zery", "Toxic", "Timo", "Hero", EU
"Blak", "Naicrez", "Zery", "Toxic", "Uphill",   || <- 1 ||  boomtown  ||  "Timo", "Alex", "Elytic", "Ronin", "Haboo", EU
"Blak", "Naicrez", "Zery", "Toxic", "Uphill",   || -> 1 ||  exo  ||  "Timo", "Alex", "Elytic", "Ronin", "Haboo", EU
"Blak", "Naicrez", "Zery", "Toxic", "Uphill",   || <- 3 ||  eden  ||  "Timo", "Alex", "Elytic", "Ronin", "Haboo", EU
"Blak", "Toxic", "Timo", "Elytic", "Uphill",   || <- 2 ||  drydock  ||  "Naicrez", "Zery", "Foy", "Ronin", "Haboo", EU
"Naicrez", "Foy", "Stn", "M-kon", "Haboo",   || <- 1 ||  eden  ||  "Mitter", "Zery", "Toxic", "Nookie", "Uphill", EU
"Mitter", "Timo", "Nookie", "Uphill", "M-kon",   || -> 0 ||  drydock  ||  "Naicrez", "Toxic", "Foy", "Stn", "Haboo", EU
"Naicrez", "Nookie", "Foy", "Blak", "Haboo",   || <- 5 ||  angel  ||  "Suddi", "Alex", "Toxic", "Stn", "Uphill", EU
"Naicrez", "Nookie", "Foy", "Blak", "Haboo",   || <- 2 ||  colony  ||  "Suddi", "Alex", "Toxic", "Stn", "Uphill", EU
"Schmoogle", "Naicrez", "Haboo", "Blak", "Zery",   || -> 1 ||  boomtown  ||  "Becket", "Toxic", "Foy", "Stn", "Uphill", EU
"Schmoogle", "Naicrez", "Haboo", "Blak", "Zery",   || <- 4 ||  exo  ||  "Becket", "Toxic", "Foy", "Stn", "Uphill", EU
"Schmoogle", "Naicrez", "Haboo", "Blak", "Zery",   || -> 2 ||  eden  ||  "Becket", "Toxic", "Foy", "Stn", "Uphill", EU
"Toxic", "Stn", "Uphill", "Blak", "Mitter",   || -> 2 ||  drydock  ||  "Schmoogle", "Naicrez", "Becket", "Haboo", "Foy", EU
"Toxic", "Stn", "Uphill", "Blak", "Mitter",   || -> 1 ||  angel  ||  "Schmoogle", "Naicrez", "Becket", "Haboo", "Foy", EU
"Alex", "Diddy", "Naicrez", "Blak", "Zery",   || <- 1 ||  boomtown  ||  "Becket", "Haboo", "Foy", "Stn", "Uphill", EU
"Toxic", "Becket", "Uphill", "Blak", "Zery",   || -> 0 ||  eden  ||  "Diddy", "Naicrez", "Haboo", "Foy", "Stn", EU
"Toxic", "Diddy", "Blak", "Naicrez", "Zery",   || -> 0 ||  eden  ||  "Foy", "Stn", "Uphill", "Becket", "Haboo", EU
"Toxic", "Diddy", "Blak", "Naicrez", "Zery",   || -> 1 ||  drydock  ||  "Foy", "Stn", "Uphill", "Becket", "Haboo", EU
"Toxic", "Uphill", "Naicrez", "Schmoogle", "Zery",   || -> 1 ||  boomtown  ||  "Lightman", "Ronin", "Stn", "Mitter", "Blak", EU
"Lightman", "Schmoogle", "Stn", "Haboo", "Blak",   || -> 1 ||  exo  ||  "Toxic", "Uphill", "Naicrez", "Ronin", "Zery", EU
"Lightman", "Schmoogle", "Stn", "Haboo", "Blak",   || <- 1 ||  eden  ||  "Toxic", "Uphill", "Naicrez", "Ronin", "Zery", EU
"Toxic", "Zery", "Mitter", "Naicrez", "Ronin",   || -> 1 ||  angel  ||  "Schmoogle", "Stn", "Haboo", "Blak", "Lightman", EU
"Toxic", "Ronin", "Schmoogle", "Suddi", "Zery",   || <- 1 ||  colony  ||  "Lightman", "Mitter", "Naicrez", "Stn", "Blak", EU
"Ronin", "Schmoogle", "Stn", "Uphill", "Zery",   || -> 2 ||  boomtown  ||  "Toxic", "Lightman", "Foy", "Naicrez", "Suddi", EU
"Ronin", "Schmoogle", "Stn", "Uphill", "Zery",   || -> 2 ||  exo  ||  "Toxic", "Lightman", "Foy", "Naicrez", "Suddi", EU
"Ronin", "Schmoogle", "Stn", "Uphill", "Zery",   || <- 1 ||  eden  ||  "Toxic", "Lightman", "Foy", "Naicrez", "Suddi", EU
"Ronin", "Schmoogle", "Stn", "Uphill", "Zery",   || -> 3 ||  drydock  ||  "Toxic", "Lightman", "Foy", "Naicrez", "Suddi", EU
"Toxic", "Lightman", "Naicrez", "Becket", "Schmoogle",   || -> 2 ||  colony  ||  "Slime", "Ronin", "Blak", "Haboo", "Uphill", EU
"Lightman", "Naicrez", "Haboo", "Uphill", "Timo",   || <- 1 ||  boomtown  ||  "Toxic", "Slime", "Ronin", "Becket", "Blak", EU
"Lightman", "Naicrez", "Haboo", "Uphill", "Timo",   || <- 1 ||  exo  ||  "Toxic", "Slime", "Ronin", "Becket", "Blak", EU
"Lightman", "Becket", "Haboo", "Uphill", "Diddy",   || -> 2 ||  boomtown  ||  "Toxic", "Sora", "Foy", "Zery", "Blak", NY
"Timo", "Becket", "Haboo", "Uphill", "Diddy",   || <- 1 ||  exo  ||  "Toxic", "Suddi", "Sora", "Foy", "Blak", EU
"Timo", "Becket", "Haboo", "Uphill", "Diddy",   || -> 1 ||  angel  ||  "Toxic", "Suddi", "Sora", "Foy", "Blak", EU
"Timo", "Becket", "Haboo", "Uphill", "Diddy",   || <- 0 ||  eden  ||  "Toxic", "Suddi", "Sora", "Foy", "Blak", EU
"Timo", "Becket", "Haboo", "Uphill", "Diddy",   || <- 0 ||  colony  ||  "Toxic", "Suddi", "Sora", "Foy", "Blak", EU
"Kilg", "Lightman", "Elytic", "Blak", "Zery",   || -> 1 ||  boomtown  ||  "Toxic", "Timo", "Becket", "Uphill", "Bobby", EU
"Toxic", "Kilg", "Becket", "Blak", "Zery",   || <- 3 ||  exo  ||  "Alex", "Elytic", "Timo", "Uphill", "Bobby", EU
"Alex", "Elytic", "Becket", "Uphill", "Bobby",   || <- 3 ||  eden  ||  "Toxic", "Kilg", "Timo", "Blak", "Zery", EU
"Alex", "Elytic", "Becket", "Uphill", "Bobby",   || -> 0 ||  drydock  ||  "Toxic", "Kilg", "Timo", "Blak", "Zery", EU
"Toxic", "Timo", "Foy", "Zery", "Uphill",   || <- 0 ||  glitch  ||  "M-kon", "Titan", "Elytic", "Becket", "Bobby", EU
"Kilg", "Becket", "Blak", "Uphill", "Hero",   || -> 1 ||  boomtown  ||  "Noface", "M-kon", "Mitter", "Ronin", "Zery", EU
"Kilg", "Becket", "Blak", "Uphill", "Hero",   || -> 1 ||  exo  ||  "Noface", "M-kon", "Mitter", "Ronin", "Zery", EU
"Kilg", "Becket", "Blak", "Uphill", "Hero",   || -> 1 ||  eden  ||  "Noface", "M-kon", "Mitter", "Ronin", "Zery", EU
"Noface", "M-kon", "Nookie", "Ronin", "Blak",   || -> 4 ||  drydock  ||  "Kilg", "Becket", "Zery", "Uphill", "Elytic", EU
"Mitter", "Blak", "Suddi", "Uphill", "Elytic",   || -> 2 ||  boomtown  ||  "Timo", "Bobby", "Diddy", "Toxic", "Becket", EU
"Mitter", "Blak", "Suddi", "Uphill", "Elytic",   || -> 2 ||  boomtown  ||  "Timo", "Bobby", "Diddy", "Toxic", "Becket", EU
"Mitter", "Blak", "Suddi", "Uphill", "Elytic",   || <- 1 ||  exo  ||  "Timo", "Bobby", "Diddy", "Toxic", "Becket", EU
"Mitter", "Blak", "Suddi", "Uphill", "Elytic",   || -> 3 ||  eden  ||  "Timo", "Bobby", "Diddy", "Toxic", "Becket", EU
"Mitter", "Blak", "Suddi", "Uphill", "Elytic",   || <- 1 ||  drydock  ||  "Timo", "Bobby", "Diddy", "Toxic", "Becket", EU
"Elytic", "Zery", "Mitter", "Eppixx", "Stn",   || <- 2 ||  colony  ||  "Suddi", "Becket", "Diddy", "Timo", "Uphill", EU
"Elytic", "Zery", "Mitter", "Eppixx", "Stn",   || <- 2 ||  colony  ||  "Suddi", "Becket", "Diddy", "Timo", "Uphill", EU
"Elytic", "Zery", "Mitter", "Eppixx", "Stn",   || -> 0 ||  glitch  ||  "Suddi", "Becket", "Diddy", "Timo", "Uphill", EU
"Elytic", "Zery", "Mitter", "Eppixx", "Stn",   || -> 1 ||  boomtown  ||  "Suddi", "Becket", "Diddy", "Timo", "Uphill", EU
"Elytic", "Nookie", "Mitter", "Becket", "Stn",   || <- 1 ||  exo  ||  "Suddi", "Zery", "Diddy", "Timo", "Uphill", EU
"Elytic", "Nookie", "Mitter", "Becket", "Stn",   || -> 1 ||  drydock  ||  "Suddi", "Zery", "Diddy", "Timo", "Uphill", EU
"Elytic", "Nookie", "Mitter", "Becket", "Stn",   || <- 2 ||  eden  ||  "Suddi", "Zery", "Diddy", "Timo", "Uphill", EU
"Suddi", "Stn", "Nookie", "Diddy", "Zim",   || -> 1 ||  drydock  ||  "Becket", "Blak", "Timo", "Uphill", "Zery", EU
"Timo", "Diddy", "Bobby", "Alex", "Elytic",   || -> 3 ||  boomtown  ||  "Slime", "Becket", "Zery", "Mitter", "Suddi", NY
"Timo", "Diddy", "Bobby", "Alex", "Elytic",   || <- 2 ||  exo  ||  "Slime", "Becket", "Zery", "Mitter", "Suddi", NY
"Timo", "Diddy", "Bobby", "Alex", "Elytic",   || -> 2 ||  eden  ||  "Slime", "Becket", "Zery", "Mitter", "Suddi", NY
"Slime", "Diddy", "Bobby", "Suddi", "Elytic",   || <- 4 ||  drydock  ||  "Timo", "Becket", "Zery", "Mitter", "Blak", NY
"Slime", "Diddy", "Bobby", "Suddi", "Elytic",   || -> 2 ||  angel  ||  "Timo", "Becket", "Zery", "Mitter", "Blak", NY
"Slime", "Diddy", "Bobby", "Suddi", "Elytic",   || <- 2 ||  colony  ||  "Timo", "Becket", "Zery", "Mitter", "Blak", NY
"Slime", "Diddy", "Bobby", "Suddi", "Elytic",   || -> 1 ||  glitch  ||  "Timo", "Becket", "Zery", "Mitter", "Blak", NY
"Suddi", "Timo", "Becket", "Elytic", "Sora",   || <- 1 ||  boomtown  ||  "Titan", "Bobby", "Diddy", "Haboo", "Zery", NY
"Suddi", "Timo", "Becket", "Elytic", "Sora",   || <- 1 ||  exo  ||  "Titan", "Bobby", "Diddy", "Haboo", "Zery", NY
"Suddi", "Timo", "Becket", "Elytic", "Sora",   || <- 1 ||  eden  ||  "Titan", "Bobby", "Diddy", "Haboo", "Zery", NY
"Suddi", "Nookie", "Becket", "Elytic", "Sora",   || -> 3 ||  colony  ||  "Timo", "Bobby", "Diddy", "Squishy", "Zery", NY
"Suddi", "Nookie", "Becket", "Elytic", "Sora",   || <- 1 ||  angel  ||  "Timo", "Bobby", "Diddy", "Squishy", "Zery", NY
"Suddi", "Nookie", "Becket", "Elytic", "Uphill",   || -> 1 ||  glitch  ||  "Timo", "Bobby", "Diddy", "Squishy", "Zery", NY
"Tark", "Becket", "Foy", "Uphill", "Ronin",   || <- 2 ||  boomtown  ||  "Daire", "Zery", "Titan", "Mitter", "Blak", NY
"Daire", "Zery", "Mitter", "Blak", "Ronin",   || <- 2 ||  exo  ||  "Tark", "Becket", "Bobby", "Titan", "Uphill", NY
"Daire", "Zery", "Mitter", "Blak", "Ronin",   || -> 2 ||  eden  ||  "Tark", "Becket", "Bobby", "Titan", "Uphill", NY
"Zery", "Ruski", "Uphill", "Blak", "Ronin",   || -> 3 ||  drydock  ||  "Toxic", "Daire", "Becket", "Bobby", "Mitter", EU
"Suddi", "Grim", "Becket", "Mitter", "Uphill",   || <- 1 ||  boomtown  ||  "Timo", "Squishy", "Titan", "Zery", "Daire", EU
"Suddi", "Grim", "Becket", "Mitter", "Uphill",   || -> 1 ||  exo  ||  "Timo", "Squishy", "Titan", "Zery", "Daire", EU
"Suddi", "Timo", "Toxic", "Elytic", "Uphill",   || <- 3 ||  boomtown  ||  "Becket", "Mitter", "Titan", "Zery", "Foy", EU
"Suddi", "Timo", "Toxic", "Elytic", "Uphill",   || <- 4 ||  exo  ||  "Becket", "Mitter", "Titan", "Zery", "Foy", EU
"Suddi", "Timo", "Noface", "Elytic", "Uphill",   || -> 2 ||  eden  ||  "Becket", "Mitter", "Toxic", "Zery", "Foy", EU
"Suddi", "Timo", "Noface", "Elytic", "Uphill",   || -> 1 ||  drydock  ||  "Becket", "Mitter", "Toxic", "Zery", "Foy", EU
"Toxic", "Foy", "Becket", "Naicrez", "Zery",   || -> 4 ||  colony  ||  "Timo", "Elytic", "Diddy", "Blak", "Suddi", EU
"Toxic", "Foy", "Zery", "Blak", "Suddi",   || <- 0 ||  angel  ||  "Becket", "Naicrez", "Timo", "Elytic", "Diddy", EU
"Toxic", "Foy", "Zery", "Blak", "Suddi",   || <- 3 ||  glitch  ||  "Becket", "Naicrez", "Timo", "Elytic", "Diddy", EU
"Toxic", "Timo", "Elytic", "Zery", "Blak",   || -> 1 ||  boomtown  ||  "Foy", "Becket", "Naicrez", "Diddy", "Suddi", EU
